512	1024
Boat	0	672	177	50	0	0	177	50
Bubble	88	1011	11	11	0	0	11	11
Bubbles	245	642	14	48	0	0	14	48
CatArms	0	813	110	76	102	57	212	243
CatArmsBack	61	1011	25	11	103	116	212	243
CatArmsCast	0	588	182	82	26	1	212	243
CatBody	221	852	17	29	0	0	17	52
CatHead1	179	672	64	52	0	0	68	100
CatHead2	184	890	64	52	0	0	68	100
CatHead3	184	588	64	52	0	0	68	100
CatHead4	134	751	64	52	0	0	68	100
CatTail	200	778	18	25	0	0	24	49
Close	221	778	34	35	0	0	34	35
ClosePress	221	815	34	35	0	0	34	35
Cloud01	112	890	70	32	0	0	70	32
Cloud02	0	968	109	41	0	0	109	41
Coin	216	966	37	38	0	0	37	38
Counter	0	786	121	25	0	1	121	26
Fish00	0	1011	32	10	30	0	62	11
Fish01	184	642	41	13	39	0	80	15
Fish02	174	944	45	20	43	0	88	23
Fish03	112	924	60	28	55	0	115	35
Fish04	111	968	103	41	97	0	200	51
Fish05	0	751	132	33	126	0	258	38
Fish06	112	813	107	75	92	0	199	112
Fish07	0	891	110	75	0	69	110	144
FishDots	34	1011	25	5	0	10	25	26
FishExclamation	250	852	5	26	10	0	25	26
Floor01	0	0	480	53	0	0	480	53
Floor02	0	55	480	191	0	0	480	191
Hook	245	692	10	15	0	0	11	15
ShopBtn	0	724	160	25	1	0	161	25
Sky	200	726	50	50	0	0	50	50
UpgradesSign	0	248	380	338	0	0	380	338
Water	257	692	10	300	0	0	10	300
gui_button	162	726	16	16	0	0	16	16
